layer,bulk_modulus,shear_modulus,density,vp,vs
core,221.7182152068092,8.880200800967781,6475.851327386171,6005.502996516028,1171.0163485404842
core,107.7622920873848,1.915859157499723,5240.9336045147775,4587.926394240076,604.6129719062793
core,280.8379583331031,27.14416123287985,5487.983528166482,7600.530383424691,2223.984794124249
core,207.5726179353002,28.93295964332005,6375.6856704671045,6213.501117459196,2130.261810668143
core,172.7374877884967,16.317861763248317,6867.950662254463,5321.5755448782065,1541.4095363045262
core,199.53791729223997,24.020136952940987,6225.2016202262175,6099.012583231342,1964.3145281372908
core,226.10146868739935,23.583219995503832,6480.304101455971,6304.19314889796,1907.672670085509
core,158.381929724767,5.9405518082292215,6583.046301328955,5026.158155563599,949.9482325441327
core,138.84651489924022,29.60846237812872,5851.816572822266,5520.267361204055,2249.37868179359
core,205.12415426776118,11.365428838011908,6845.079214150064,5672.785753761404,1288.5571181252812
core,177.231520663215,1.3336813314482932,5003.72079958877,5981.248190898297,516.2731054911148
core,104.57700478576042,17.365421093724773,6635.235532691862,4387.527116093767,1617.7614697929698
core,279.7637033246981,22.27049841905505,6263.34792712711,7029.062078595959,1885.6526671343408
core,177.35754432170438,12.440805530720215,6665.6341545643245,5394.098543458608,1366.1661294397675
core,129.56545944626345,24.534829979397323,5648.426610281253,5360.025250379967,2084.1442820841626
core,162.39412662761129,1.3147769587122526,6686.840265290097,4954.572816205392,443.4202962704836
core,126.70624207814178,17.415854725095414,6419.363980145524,4832.751650452839,1647.1243826475013
core,246.17104463760728,15.746627930389383,6794.301904181637,6270.737477911686,1522.3740151813042
core,140.80138784776165,4.028379358388375,6838.038178848005,4623.460657005145,767.537176781758
core,106.7400155447772,6.214749036657331,6724.401792922334,4135.917215507369,961.3576138282142
core,119.00927824824328,23.104848712345603,5552.573915564687,5194.354100135422,2039.878921367562
core,199.1972909862062,4.64762646851279,5844.197296385011,5928.319144749702,891.7706478483232
core,253.18300669179206,21.342944931838137,5888.715960325302,6915.714721067754,1903.780475374662
core,112.36950233928779,20.03561921655093,6980.825753641217,4463.593725615147,1694.1348861394874
core,161.538927760313,28.64584886565449,6668.384581069589,5472.8685911923985,2072.6240288535028
core,296.84215036452474,22.894004056133618,5499.144351497622,7715.609047949904,2040.3906170915527
core,153.6930612915174,9.111866125215068,6511.166503422048,5046.82383701306,1182.9714529821179
core,244.57465539727048,22.3888938087368,6514.3969768918605,6490.466671513838,1853.8697076860606
core,212.05610080027884,15.130028024139282,5002.331088938875,6813.534360995356,1739.1364192069886
core,221.1155687724172,17.007224503656364,5160.79468373429,6873.078700924398,1815.3418992826005
core,267.3073949874236,12.624838009677719,6025.33354507024,6867.142080544818,1447.5126260261145
core,102.58470257002732,15.820509746902399,5234.005985322732,4861.0532181906665,1738.5737929897878
core,286.37747507488757,1.1347385640264684,5634.96397748882,7147.728776193631,448.7478028943077
core,182.65831204431353,24.956531476132,6055.016429262692,5971.762641088634,2030.1795554539794
core,278.7553223486417,12.72404751764793,6229.179335039192,6890.098961507623,1429.2138760530183
core,270.0132398781315,11.347008918795519,6320.60548861759,6716.634244013973,1339.8659672788185
core,105.04582059676237,6.071941288546845,5858.767882568564,4394.488022484266,1018.0301393766497
core,117.72290821386797,3.315220953694855,5158.752466460112,4865.890226841786,801.6483344187377
core,139.51371624819865,27.57594346437681,6398.695329928688,5248.773428670719,2075.9623557604796
core,196.73703633611146,16.019249197993215,6648.63765506398,5727.400497179443,1552.225258646804
core,280.50492204068337,24.267233506116533,5088.993577923059,7840.79185658213,2183.7060791635267
core,106.07844456032495,1.4924120081743764,5590.283155220983,4396.755459999868,516.6869163290064
core,154.0331646072715,17.967026098116353,6608.279053524933,5189.824092128559,1648.8984596655307
core,295.37667636764985,15.057610138306766,5830.990561442271,7355.234085031514,1606.9666176217186
core,278.10053438047186,16.914657122578113,5250.464617959308,7567.1823462808725,1794.868894565884
core,258.2215941176988,5.528249360656634,6223.337626232541,6532.753906529505,942.5016751692954
core,194.49391222628162,13.026955473877598,6622.472418692353,5656.107701546998,1402.527499455367
core,159.3639143023409,24.514498675783607,5538.860157230615,5888.393934277318,2103.784775651224
core,148.03212395839859,10.525199320257585,5726.090363486411,5320.059468075821,1355.7701438104884
core,120.64618284655583,17.778649336262585,5763.510877867713,5004.565906654975,1756.3288022745685
core,109.84098909471311,13.7727348065273,6457.783171808922,4455.640416008301,1460.388361329146
core,153.9836651357517,5.4744236903269625,6594.943845465958,4945.254041025175,911.0949767670816
core,159.6121647870209,28.252569953860935,6668.79426018286,5439.016239324925,2058.284103304076
core,203.2289717273,27.379348180604367,6354.933249181583,6142.002884815117,2075.659233520027
core,261.8878465151199,20.83128551579482,6382.760352739882,6736.621751588981,1806.5657251278922
core,155.3233222281526,21.68357742371783,5014.3126701218835,6061.499581073389,2079.5040089329304
core,284.29117210042585,22.387928238280747,5906.016526339114,7293.1558734969485,1946.9716337132677
core,248.89050852958542,17.565135650635177,6173.419025929641,6641.550310023632,1686.797217747138
core,255.4236621935496,27.502557143230387,5200.451663658747,7494.464236437172,2299.67257379699
core,144.69756721465518,3.440009018044705,6238.686445873009,4891.706706124342,742.5628384900921
core,229.07413765225255,6.811118658698197,6042.87510775199,6277.816488621769,1061.6647891720675
core,187.64454594131058,1.0331871450924124,5859.226664807652,5679.840962021447,419.9226954714203
core,170.5087322717543,7.993504939167318,5941.224089865083,5522.0618508184125,1159.9269983962542
core,222.3429987740607,6.383788354683664,5509.185887671409,6473.298931714084,1076.454126482663
core,165.42580566904758,4.462432477779533,5928.9938805398815,5376.307985612908,867.5516254558609
core,103.53624697888206,16.94199163413839,5161.0850697480755,4943.460413549545,1811.8061216180934
core,295.638232800909,25.75283059285578,5076.898920517667,8061.975690341149,2252.2325309770395
core,152.20315832627767,24.940434033768653,6977.90803961892,5155.360939173351,1890.5552889148787
core,268.3597068342615,11.575324753616853,6242.435401269459,6742.549960463103,1361.7254795833585
core,279.2545153208065,18.239004689049203,6039.82339968209,7089.564952145533,1737.7546021050853
core,226.38132228529813,7.634527177200652,6514.406949949758,6026.0655052137445,1082.5641230311555
core,288.9343230426184,26.341151682273154,6381.857995028049,7125.844986099829,2031.6262305824093
core,111.89131122475722,0.8795892668778893,6694.467837861281,4109.645200511847,362.47823202870444
core,102.14194129457361,26.072143748634133,5762.167031440849,4874.346690057381,2127.136938454228
core,225.47833553074955,13.529132399884741,5351.419125553924,6745.751188870335,1590.0123230557508
core,217.28610754134849,3.0723948612404097,5216.012228919741,6514.820806762861,767.4837953694615
core,145.49534853618462,3.0551670876091186,6580.051961442367,4767.667886108405,681.4010867038688
core,291.8473404436332,20.492273833271913,6787.623013134772,6857.288607706043,1737.5456303302863
core,227.40037921289374,28.822885947336253,5917.53882993974,6702.428158074044,2206.9788611319073
core,242.41277772540016,22.266775297300995,5817.313964617361,6839.186781607609,1956.4439549459269
core,199.19623178394494,16.857967245310405,6370.593084347455,5898.844900115333,1626.7194895312375
core,261.3994037453364,14.725885810984957,5447.928474307835,7182.3021375620065,1644.0878342302606
core,298.7935388304544,7.8894396241614215,5241.752142640689,7681.759384305088,1226.8312724251464
core,200.42831173177078,21.993118427924003,6458.351263598861,5964.434355259162,1845.36625763508
core,273.12897035094204,14.677852921978488,5446.513003044337,7330.805112215528,1641.6175765654905
core,175.0491827741135,4.3621587793612715,5566.3863765253045,5700.212756610143,885.2461782600022
core,275.0080944440449,10.571216971379332,5665.747072082447,7143.281179678119,1365.9471672894165
core,135.41326581877252,22.03589692555096,5584.762944726561,5432.114735093709,1986.383021316824
core,202.87933480675852,7.08274403180877,6538.247339509478,5698.595639528304,1040.8067509875355
core,141.06337492666094,7.571593038991593,6965.997280852742,4658.27489784114,1042.5622158649637
core,114.46374945949258,13.2005406922122,6260.16768938303,4593.0377372955945,1452.1212363778923
core,175.1962269683519,28.6531090512278,5165.051101435079,6427.769212395775,2355.312652170472
core,183.15941528741507,24.562398517337265,5001.350681834538,6570.402891454345,2216.1121412132206
core,193.73063818938022,6.979111705675766,5380.041197633875,6143.188655873834,1138.9568584876565
core,220.33998378305824,7.72009842761949,5911.483884817058,6246.156928299286,1142.781401455142
core,213.03201467815416,3.103261783130844,6718.518688764778,5685.4238626428205,679.6298445376752
core,169.8429565879407,26.82671351716231,5127.437179307076,6332.481904790441,2287.3549411768786
core,104.65496893123276,21.548001824683244,5419.049218918338,4961.271425991244,1994.0771366094796
core,135.99202599650198,16.416944733515905,6092.4939322245,5090.5859492635645,1641.5292110764335
core,204.03538536380302,16.896911634603114,6209.36309448043,6040.494589150224,1649.605661225225
core,126.02284596585199,14.235061266508332,6985.860020254714,4555.9447195733765,1427.4790091637997
core,115.40368284879578,10.553153960396811,6417.97088122922,4491.520042840905,1282.3077465520357
core,167.9083713248985,4.333655581512982,6130.387136452231,5322.788129621512,840.7816907203988
core,221.40724099372298,26.238662531606213,6061.718761231836,6503.6093816912535,2080.52508002489
core,281.7784480140589,26.869375410203453,5141.3236347455195,7859.695177944881,2286.079421516126
core,123.4588759150366,2.1778532492266764,5003.75220602803,5025.294490764241,659.7302666958941
core,178.22226111429754,8.463199973910218,6178.44812011571,5538.247817076411,1170.3819066188132
core,132.7550736085375,17.293982270687206,5434.515121443778,5354.543396691974,1783.886027933264
core,174.47324056478868,7.481747290485211,6960.900628009483,5147.606280443499,1036.7374827979272
core,254.927002023281,1.3668119499443154,6722.425841961541,6180.046230032399,450.911564280974
core,216.93905539394711,19.384627289051377,5508.192000351511,6639.059973875906,1875.962671994342
core,185.54401757577483,25.930033625571095,5488.44478309488,6332.89858526971,2173.58631119987
core,204.4923668699139,6.130677043871991,6913.229952814657,5546.37392488432,941.7024880506667
core,247.85316100089247,8.094098631985982,6469.75933824747,6322.782260622171,1118.5108031060624
core,205.23193012160246,1.0753958973717503,6808.853082308356,5509.311343157482,397.4177003623161
core,142.85014613759398,5.712183354437597,6399.6040228958955,4848.899694064581,944.7665714687988
core,129.7390364686429,26.218051857231767,5904.613073716491,5281.367427082534,2107.1938357941117
