relative_time,distance_angle,instantaneous_amplitude,instantaneous_frequency,rms_amplitude,rms_frequency,phase_shift,wave_type,P_wave_arrival_time,S_wave_arrival_time,depth_of_source,shadow_zone,core_radius,density,bulk_modulus,shear_modulus
0,114.9986561,8.154751979,2.143656263,3.155021835,0.373266114,214.2484872,S,1133.847171,1943.738007,310.4421666,0,1762.648829,4174.495181,76.49809484,72.79132949
15,143.9239041,0.422392493,1.22291185,0.09773857,0.91773756,216.5567188,S,1434.04016,2447.640274,5.694122084,0,1918.545038,6742.566779,134.873914,0
30,88.33520408,0.765955173,0.227738417,3.736735343,1.31074238,67.60061819,S,900.9547101,1523.065217,588.1830121,0,1674.682072,6327.939646,137.2753505,4.526991293
45,104.3973664,1.738761681,3.759789487,0.984176985,1.778037928,71.05752261,P,1074.322102,1809.552176,152.2304161,1,1771.927378,4311.999742,61.57373957,40.48712362
60,93.03502652,0.186690683,4.59529888,0.849314476,1.500869662,354.0923392,S,977.2933419,1632.502872,250.7365266,0,1859.239468,4195.974988,63.61408474,28.79490664
75,158.9053772,6.961491824,3.078149541,0.676787789,2.032184925,128.1304072,S,1641.752329,2760.861136,332.5670564,0,1817.887853,4908.393049,77.25082882,28.13029264
90,79.06166903,0.68059199,1.811728317,4.525884646,0.739331986,352.7041505,S,869.5208462,1426.321451,317.7183679,0,1844.92361,4337.152607,57.6968811,19.94185386
105,42.55667577,9.115318848,1.875571844,1.027114807,0.118672854,217.3969698,P,524.5941765,824.3043026,113.0894793,0,1733.163336,4522.417102,84.11322631,46.60289782
120,88.65054516,6.102622983,2.574728514,4.114431781,1.49583183,277.5021207,S,994.0638646,1618.395197,390.687313,0,1795.096598,3277.611337,36.9928642,44.79933173
135,11.11350028,6.216327114,3.530209993,4.256515547,2.455839727,127.8148603,P,244.5752878,322.8433506,284.1375248,0,1809.005089,3892.775052,71.23277213,83.65784107
150,0.45219015,1.373275331,1.136425079,2.061241421,0.691160822,163.9412581,S,154.4584393,157.6430387,317.0311126,0,1860.410449,3314.920894,30.46659531,14.63676371
165,102.4137607,5.299274672,2.47581475,2.373031641,1.613155905,114.118877,S,1174.764433,1896.024743,435.7987358,0,1787.973597,5967.625213,189.200061,12.81563113
180,47.54698643,5.868814418,4.042315352,4.168287708,2.250127578,18.86390499,S,648.7969221,983.6518665,433.0980184,0,1670.797252,4922.379096,75.61716229,28.56188382
195,9.613498607,8.251049066,0.651775175,2.579472466,1.921964385,60.81863325,S,289.7857876,357.4899216,7.434462831,0,1851.929287,6938.001848,205.1838054,0
210,42.36388519,9.330647989,4.380282599,4.162926032,2.478804928,18.51290644,P,627.6933277,926.0457047,177.5990751,0,1825.098869,4335.366635,77.77550061,59.90086883
225,81.80794272,6.497269013,1.532704067,0.895349289,0.095182236,50.83276426,P,1031.59816,1607.739702,121.3952426,0,1928.091608,6100.741417,226.3505205,11.00610718
240,57.33787617,5.063425689,4.873311905,3.234622872,1.35486306,197.8173873,S,805.3317252,1209.1401,207.6608027,0,1715.914044,3295.534488,27.99301558,30.84949114
255,152.8616126,7.503778231,0.391592949,4.078145785,2.087657255,261.2149649,P,1762.162891,2838.707813,335.8724803,0,1748.696299,6787.327385,269.7015203,0
270,21.55409259,6.599176518,4.808248532,1.154571733,0.986283787,2.031889754,P,482.5159347,634.3130309,623.2470839,1,1818.813365,5755.238563,134.4549906,14.59548112
285,160.3330715,7.509519146,4.048390892,2.006099045,1.067291193,184.0018694,P,1865.828903,2994.992406,193.8176285,0,1896.118705,3856.6352,76.87541022,77.23173542
300,53.55908837,2.8591688,2.622061605,2.933791525,0.944782264,353.5168915,S,828.074178,1205.270019,300.4413124,0,1822.891078,2748.760894,19.60919821,25.09553832
